year,quarter,brand,model,count
2023,3,DATSUN,DATSUN MODEL MISSING,6
2023,3,LANCIA,LANCIA MODEL MISSING,6
2023,3,MORGAN,MORGAN PLUS 6,6
2023,3,TOYOTA,TOYOTA ALTEZZA,6
2023,3,TRIUMPH,TRIUMPH TR4,6
2023,3,VOLKSWAGEN,VOLKSWAGEN JETTA,6
2023,3,VOLKSWAGEN,VOLKSWAGEN SCIROCCO,6
2023,3,MINI,MINI ONE,5
2023,3,JAGUAR,JAGUAR S TYPE,5
2023,3,NISSAN,NISSAN PRIMASTAR,5
2023,3,SEAT,SEAT MODEL MISSING,5
2023,3,MAEVING,MAEVING MODEL MISSING,5
2023,3,TOYOTA,TOYOTA MR2,5
2023,3,FERRARI,FERRARI DAYTONA,5
2023,3,MAZDA,MAZDA 5,5
2023,3,MAZDA,MAZDA DEMIO,5
2023,3,MORRIS,MORRIS MINI,5
2023,3,NISSAN,NISSAN MARCH,5
2023,3,TOYOTA,TOYOTA CELICA,5
2023,3,BYD,BYD DOLPHIN COMFORT EV,4
2023,3,GENESIS,GENESIS G80,4
2023,3,MAXUS,MAXUS MIFA,4
2023,3,TESLA,TESLA MODEL MISSING,4
2023,3,DACIA,DACIA MODEL MISSING,4
2023,3,FORD,FORD GRANADA,4
2023,3,MERCEDES-BENZ,MERCEDES-BENZ MODEL MISSING,4
2023,3,PEUGEOT,PEUGEOT 205,4
2023,3,VAUXHALL,VAUXHALL MODEL MISSING,4
2023,3,MERCEDES,MERCEDES CLS CLASS,4
2023,3,MERCEDES,MERCEDES COLEMAN MILNE,4
2023,3,TOYOTA,TOYOTA SIENTA,4
2023,3,AUSTIN,AUSTIN SEVEN,4
2023,3,BMW,BMW 6 SERIES,4
2023,3,BUICK,BUICK MODEL MISSING,4
2023,3,CADILLAC,CADILLAC ESCALADE,4
2023,3,CITROEN,CITROEN 2CV,4
2023,3,FORD,FORD KA,4
2023,3,HONDA,HONDA INTEGRA,4
2023,3,LOTUS,LOTUS MODEL MISSING,4
2023,3,MASERATI,MASERATI MODEL MISSING,4
