year,quarter,brand,model,count
2026,2,MASERATI,MASERATI GRANCABRIO,18
2026,2,FORD,FORD TRANSIT,17
2026,2,CHEVROLET,CHEVROLET MODEL MISSING,17
2026,2,FIAT,FIAT DUCATO,17
2026,2,HONDA,HONDA ACCORD,17
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG C CLASS,17
2026,2,PORSCHE,PORSCHE 718,17
2026,2,MASERATI,MASERATI GRANTURISMO,15
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG EQE CLASS,15
2026,2,PEUGEOT,PEUGEOT TRAVELLER,15
2026,2,ALFA ROMEO,ALFA ROMEO MODEL MISSING,15
2026,2,VOLVO,VOLVO V90,15
2026,2,KIA,KIA CEED,15
2026,2,AUDI,AUDI SQ8,15
2026,2,FERRARI,FERRARI PUROSANGUE,15
2026,2,ROLLS ROYCE,ROLLS ROYCE GHOST,15
2026,2,TOYOTA,TOYOTA ALTEZZA,15
2026,2,TOYOTA,TOYOTA GR YARIS,15
2026,2,LAMBORGHINI,LAMBORGHINI REVUELTO,15
2026,2,FORD,FORD S-MAX,14
2026,2,VOLKSWAGEN,VOLKSWAGEN SHARAN,14
2026,2,HONDA,HONDA SUPER N,13
2026,2,TOYOTA,TOYOTA CROWN,13
2026,2,DS,DS NO 4,12
2026,2,MAN,MAN TGE,12
2026,2,MAZDA,MAZDA DEMIO,12
2026,2,JAGUAR,JAGUAR XK SERIES,12
2026,2,VOLKSWAGEN,VOLKSWAGEN JETTA,12
2026,2,SUZUKI,SUZUKI ACROSS,12
2026,2,CITROEN,CITROEN E-C4,11
2026,2,ROLLS ROYCE,ROLLS ROYCE,11
2026,2,BMW,BMW X3 M,11
2026,2,BMW,BMW 6 SERIES,11
2026,2,FERRARI,FERRARI MODEL MISSING,11
2026,2,HONDA,HONDA S660,11
2026,2,MG,MG MODEL MISSING,11
2026,2,AUDI,AUDI TT,10
2026,2,FIAT,FIAT MODEL MISSING,10
2026,2,HONDA,HONDA INTEGRA,10
2026,2,NISSAN,NISSAN SILVIA,10
2026,2,TOYOTA,TOYOTA FJ CRUISER,10
2026,2,MERCEDES-BENZ,MERCEDES-BENZ EQV CLASS,9
2026,2,FERRARI,FERRARI F80,9
2026,2,ARIEL,ARIEL MODEL MISSING,9
2026,2,CHEVROLET GMC,CHEVROLET GMC CAMARO,9
2026,2,NISSAN,NISSAN SKYLINE,9
2026,2,VOLVO,VOLVO 850,9
2026,2,FERRARI,FERRARI SF90,9
2026,2,MASERATI,MASERATI GRECALE FOLGORE,8
2026,2,MERCEDES,MERCEDES EVITO,8
2026,2,MINI,MINI ONE,8
2026,2,DS,DS DS3,8
2026,2,MCLAREN,MCLAREN MODEL MISSING,8
2026,2,CHRYSLER,CHRYSLER MODEL MISSING,8
2026,2,FORD,FORD CORTINA,8
2026,2,KGM,KGM KORANDO,8
2026,2,VOLVO,VOLVO XC70,8
2026,2,ASTON MARTIN,ASTON MARTIN VALHALLA,8
2026,2,FORD,FORD GALAXY,7
2026,2,TOYOTA,TOYOTA CAVALIER,7
2026,2,TOYOTA,TOYOTA MR2,7
2026,2,ASTON MARTIN,ASTON MARTIN MODEL MISSING,7
2026,2,JEEP,JEEP GRAND CHEROKEE,7
2026,2,MAZDA,MAZDA RX-7,7
2026,2,NISSAN,NISSAN MARCH,7
2026,2,ROLLS ROYCE,ROLLS ROYCE PHANTOM,7
2026,2,SMART,SMART MODEL MISSING,7
2026,2,TOYOTA,TOYOTA CENTURY,7
2026,2,GENESIS,GENESIS G80,6
2026,2,NISSAN,NISSAN LEAF,6
2026,2,FORD,FORD MONDEO,6
2026,2,SEAT,SEAT MODEL MISSING,6
2026,2,ABARTH,ABARTH 595,6
2026,2,AUDI,AUDI S1,6
2026,2,AUSTIN HEALEY,AUSTIN HEALEY MODEL MISSING,6
2026,2,CADILLAC,CADILLAC ESCALADE,6
2026,2,HONDA,HONDA N-BOX,6
2026,2,LINCOLN,LINCOLN MODEL MISSING,6
2026,2,MCLAREN,MCLAREN ARTURA,6
2026,2,PORSCHE,PORSCHE 918,6
2026,2,AUSTIN,AUSTIN MODEL MISSING,5
2026,2,TESLA,TESLA MODEL MISSING,5
2026,2,JAGUAR,JAGUAR XJ SERIES,5
2026,2,VOLVO,VOLVO V50,5
2026,2,CHEVROLET GMC,CHEVROLET GMC CORVETTE,5
2026,2,DACIA,DACIA MODEL MISSING,5
2026,2,AUDI,AUDI QUATTRO,5
2026,2,DAIHATSU,DAIHATSU MODEL MISSING,5
2026,2,FORD,FORD ANGLIA,5
