year,month,brand,model,count
2025,4,HYUNDAI,TUCSON,168
2025,4,RENAULT,CAPTUR (E-TECH HYBRID),166
2025,4,PEUGEOT,5008,164
2025,4,MERCEDES-BENZ,EQB 250+,159
2025,4,RENAULT,SCENIC E-TECH ELECTRIC,158
2025,4,CUPRA,TERRAMAR E-HYBRID,155
2025,4,CUPRA,FORMENTOR E-HYBRID,152
2025,4,DACIA,DUSTER,151
2025,4,PEUGEOT,308,150
2025,4,SKODA,ENYAQ 85,144
2025,4,RENAULT,CLIO,144
2025,4,OPEL,MOKKA,143
2025,4,VOLKSWAGEN,PASSAT,143
2025,4,KIA,EV6,141
2025,4,RENAULT,CAPTUR,137
2025,4,DACIA,JOGGER,136
2025,4,ALFA ROMEO,ALFA ROMEO JUNIOR,136
2025,4,BMW,120,135
2025,4,SKODA,FABIA,129
2025,4,MERCEDES-BENZ,EQA 250+,124
2025,4,MG,MG ZS EV,119
2025,4,POLESTAR,POLESTAR 2,117
2025,4,BMW,530E,114
2025,4,HYUNDAI,I20,114
2025,4,MG,MG4 ELECTRIC,113
2025,4,CITROEN,C3,112
2025,4,BMW,X3 30E XDRIVE,110
2025,4,AUDI,A3 SPORTBACK PHEV 150,110
2025,4,OPEL,FRONTERA,110
2025,4,OPEL,GRANDLAND,109
2025,4,VOLVO,EX90,108
2025,4,OPEL,ASTRA SPORTS TOURER,106
2025,4,LAND ROVER,RANGE ROVER EVOQUE,102
2025,4,SKODA,SUPERB,101
2025,4,MERCEDES-BENZ,C 300 E,101
2025,4,AUDI,A3 SPORTBACK,101
2025,4,BMW,330E,98
2025,4,CITROEN,C4,98
2025,4,MINI,COOPER C,91
2025,4,MITSUBISHI,MITSUBISHI OUTLANDER,90
2025,4,MERCEDES-BENZ,E 300 E,89
2025,4,MAZDA,MAZDA2 HYBRID,89
2025,4,MERCEDES-BENZ,CLA 250 E,89
2025,4,MERCEDES-BENZ,A 250 E,86
2025,4,VOLKSWAGEN,ID.4 PRO 210KW,83
2025,4,OPEL,ASTRA,83
2025,4,CITROEN,E-C3 AIRCROSS,83
2025,4,AUDI,A6 AV E-TRON,82
2025,4,MG,MG ZS,81
2025,4,VOLKSWAGEN,TAIGO,80
2025,4,LAND ROVER,DEFENDER,79
2025,4,XPENG,G6,78
2025,4,CUPRA,TAVASCAN,78
2025,4,MINI,ACEMAN SE,77
2025,4,BMW,M5,77
2025,4,SUZUKI,S-CROSS,77
2025,4,RENAULT,ESPACE,76
2025,4,PEUGEOT,408,75
2025,4,NISSAN,NISSAN JUKE,74
2025,4,AUDI,A1 SPORTBACK,72
2025,4,FORD,TRANSIT CUSTOM,72
2025,4,CITROEN,C3 AIRCROSS,72
2025,4,MERCEDES-BENZ,GLC 300 E 4MATIC,71
2025,4,AUDI,Q6 SUV E-TRON PERFORMANCE,71
2025,4,SKODA,KAROQ,70
2025,4,TOYOTA,TOYOTA BZ4X,70
2025,4,MERCEDES-BENZ,GLA 250 E,70
2025,4,MINI,COOPER E,70
2025,4,MITSUBISHI,ASX,70
2025,4,MAZDA,MAZDA CX-60,68
2025,4,HYUNDAI,IONIQ5,67
2025,4,RENAULT,ARKANA E-TECH,66
2025,4,BMW,X1 XDRIVE30E,66
2025,4,RENAULT,MEGANE E-TECH ELECTRIC,65
2025,4,CUPRA,BORN 170 KW 60/63 KWH,65
2025,4,MERCEDES-BENZ,SPRINTER,65
2025,4,BMW,IX2 EDRIVE20,63
2025,4,RENAULT,RAFALE,62
2025,4,SEAT,SEAT ATECA,62
2025,4,VOLKSWAGEN,MULTIVAN,62
2025,4,KIA,EV9,61
2025,4,FIAT,600,61
2025,4,SKODA,SCALA,60
2025,4,LAND ROVER,RANGE ROVER,59
2025,4,BYD,ATTO 3,59
2025,4,MINI,ACEMAN E,57
2025,4,PORSCHE,MACAN 4,56
2025,4,AUDI,Q2,56
2025,4,AUDI,Q6 SUV E-TRON,55
2025,4,LEAPMOTOR,T03,55
2025,4,AUDI,Q4 SPORTBACK 45 E-TRON,55
2025,4,BMW,550E XDRIVE,54
2025,4,CITROEN,E-C4,54
2025,4,BMW,I4 EDRIVE35,54
2025,4,MINI,COUNTRYMAN E,53
2025,4,MITSUBISHI,COLT,52
2025,4,POLESTAR,POLESTAR 4,52
2025,4,VOLKSWAGEN,CADDY,50
2025,4,MERCEDES-BENZ,A 180,49
2025,4,MAZDA,MAZDA CX-30,48
2025,4,BMW,I4 EDRIVE40,47
2025,4,CUPRA,CUPRA LEON SP E-HYBRID150,47
2025,4,MINI,COOPER S,47
2025,4,PORSCHE,CAYENNE E-HYBRID,47
2025,4,HONDA,CR-V,46
2025,4,BMW,I5 EDRIVE40,46
2025,4,FORD,CAPRI,46
2025,4,VOLVO,V90,44
2025,4,LEAPMOTOR,C10,43
2025,4,VOLKSWAGEN,ID.7 TOURER PRO S,43
2025,4,BMW,220,42
2025,4,AUDI,A6 SB E-TRON,42
2025,4,VOLKSWAGEN,ID.3 PRO 150 KW,42
2025,4,ZEEKR,X,42
2025,4,HYUNDAI,SANTA FE,41
2025,4,BYD,SEAL U DM-I,40
2025,4,HYUNDAI,BAYON,40
2025,4,VOLVO,EC40,39
2025,4,MG,MG3 HYBRID+,39
2025,4,VOLKSWAGEN,CALIFORNIA,39
2025,4,SKODA,ELROQ 50,38
2025,4,ZEEKR,001,37
2025,4,LAND ROVER,DISCOVERY SPORT,37
2025,4,AUDI,A6 AV E-TRON PERFORMANCE,37
2025,4,MERCEDES-BENZ,AMG E 53 HYBRID,36
2025,4,MINI,COUNTRYMAN C,36
2025,4,BMW,520I,35
2025,4,CITROEN,C5 AIRCROSS,35
2025,4,FORD,MUSTANG MACH-E,34
2025,4,JEEP,COMPASS,34
2025,4,BYD,BYD SEAL U,34
2025,4,MERCEDES-BENZ,CLA 180,34
2025,4,PEUGEOT,EXPERT,33
2025,4,VOLKSWAGEN,ID.7 TOURER PRO,32
2025,4,SEAT,SEAT LEON SP E-HYBRID150,31
2025,4,AUDI,A3 LIMOUSINE,31
2025,4,FIAT,PANDA,31
2025,4,BMW,X1 SDRIVE18I,31
2025,4,AUDI,A5 AVANT,30
2025,4,MERCEDES-BENZ,EQE 300,30
2025,4,FIAT,500,30
2025,4,BYD,BYD SEAL,30
2025,4,DACIA,SPRING,29
2025,4,MINI,COOPER SE,29
2025,4,NISSAN,NISSAN ARIYA,29
2025,4,AUDI,Q6 SUV E-TRON QUATTRO,28
2025,4,KIA,SORENTO,28
2025,4,MERCEDES-BENZ,GLE 400 E 4MATIC,28
2025,4,AUDI,A6 SB E-TRON PERFORMANCE,27
2025,4,LAND ROVER,RANGE ROVER VELAR,27
2025,4,SMART,#3,27
2025,4,BMW,X1 SDRIVE20I,27
2025,4,HYUNDAI,I 30,27
2025,4,MG,MG HS,27
2025,4,BMW,X2 SDRIVE20I,26
